"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","entrance.type","pages","time","fraud"
"109",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.766,0
"110",27,16,8,19,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,86.983,0
"111",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.291,0
"112",27,16,8,19,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,121.686,0
"113",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16.153,0
"114",27,16,8,19,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,146.301,0
"115",27,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.373,0
"116",27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.661,0
"117",27,16,8,19,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,92.265,0
"118",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.923,0
"119",27,16,8,19,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,133.474,0
"120",27,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6.22,0
"121",27,16,8,19,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,103.747,0
"122",27,8,10,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15.732,0
"123",27,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,117.782,0
"124",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.685,0
"125",27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.277,0
"126",27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.977,0
"127",27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.819,0
"128",27,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35.788,0
"129",27,16,8,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12.965,0
"132",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.719,0
"133",27,8,10,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,55.232,0
"134",10,8,10,10,8,19,21,19,20,19,20,19,19,19,8,0,0,0,0,0,1,15,53.861,0
"135",27,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11.613,0
"136",27,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11.353,0
"137",27,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,21.185,0
"138",27,16,27,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6.398,0
"139",27,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11.167,0
"140",27,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9.877,0
"141",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.133,0
"142",8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1.866,0
"143",27,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.354,0
"145",27,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13.336,0
